Project,Version,Class,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,nr,ndc,nml,isOld,ndpv,ner,max(cc),avg(cc),bugs
lucene,2.2,org.apache.lucene.analysis.PorterStemFilter,2,3,0,4,6,0,0,4,2,0.0,35,1.0,1,0.8,0.75,0,0,16.0,1,1,11,1,0,,1,0.5,1
lucene,2.2,org.apache.lucene.search.MatchAllDocsQuery$MatchAllScorer,6,2,0,7,10,1,1,6,5,0.68,71,0.2,2,0.61538464,0.33333334,1,3,10.0,,0,,,0,,3,1.1666666,0
lucene,2.2,org.apache.lucene.index.TermVectorsWriter,15,1,0,13,54,41,2,11,10,0.8047619,675,0.53333336,5,0.0,0.23703703,0,0,43.0,2,2,15,1,0,,3,1.2,3
lucene,2.2,org.apache.lucene.analysis.standard.TokenMgrError,6,3,0,1,19,15,1,0,4,1.12,184,0.0,0,0.8125,0.5,1,1,28.833334000000004,0,0,,1,0,,14,2.8333333,0
lucene,2.2,org.apache.lucene.index.CompoundFileReader$1,0,1,0,2,0,0,2,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,,0,,,0,,0,0.0,0
lucene,2.2,org.apache.lucene.search.TermQuery,8,2,0,15,22,0,10,6,6,0.14285715,100,1.0,1,0.6315789,0.23214285,2,2,11.375,2,2,21,1,1,,4,1.375,1
lucene,2.2,org.apache.lucene.index.CompoundFileReader$FileEntry,2,1,0,2,3,1,1,1,0,2.0,10,0.0,0,0.0,0.75,0,0,3.0,,0,,,0,,0,0.0,0
lucene,2.2,org.apache.lucene.index.FieldsWriter,4,1,0,8,39,0,2,6,0,0.8888889000000001,235,0.5,3,0.0,0.375,0,0,56.25,2,1,43,1,2,,2,1.0,7
lucene,2.2,org.apache.lucene.search.PrefixGenerator,2,1,1,6,16,0,1,5,1,0.0,66,1.0,1,0.0,0.6666667,0,0,31.5,0,0,,0,0,,1,0.5,0
lucene,2.2,org.apache.lucene.search.QueryTermVector,10,1,0,4,37,0,0,4,9,0.38888890000000004,280,1.0,0,0.0,0.34,0,0,26.8,1,1,11,1,0,,5,1.6,1
