Project,Version,Class,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,nr,ndc,nml,isOld,ndpv,ner,max(cc),avg(cc),bugs
pBeans,1.0,net.sourceforge.pbeans.data.AbstractDatabase$1,6,1,0,3,22,3,1,3,5,0.45,122,0.25,2,0.0,0.375,0,0,18.666666,,,,,,,3,1.3333334,0
pBeans,1.0,net.sourceforge.pbeans.data.AbstractDatabase$LockInfo,5,1,0,1,6,0,1,1,5,0.6666667,40,0.6666667,1,0.0,0.46666667,0,0,6.4,,,,,,,1,0.8,0
pBeans,1.0,net.sourceforge.pbeans.data.GenericDataSource,12,1,0,0,25,48,0,0,12,0.7878788000000001,159,1.0,0,0.0,0.33333334,0,0,12.0,,,,,,,1,0.8333333,1
pBeans,1.0,net.sourceforge.pbeans.Store$1,5,1,0,4,17,0,1,4,4,0.5833333,63,0.0,2,0.0,0.4,0,0,11.0,,,,,,,1,0.8,0
pBeans,1.0,net.sourceforge.pbeans.data.DatabaseFactory,1,1,0,3,1,0,2,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,,,,,,,1,1.0,0
pBeans,1.0,net.sourceforge.pbeans.AbstractStoreInfo,7,1,3,9,39,13,3,6,6,0.75,446,1.0,0,0.0,0.4047619,0,0,62.42856999999999,,,,,,,27,5.142857,4
pBeans,1.0,net.sourceforge.pbeans.Persistent,0,1,0,9,0,0,9,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,,,,,,,0,0.0,1
pBeans,1.0,net.sourceforge.pbeans.data.ConnectionPool$ConnectionWrapper,9,1,0,3,18,8,3,1,7,0.5833333,83,0.6666667,1,0.0,0.26666668,0,0,7.888889,,,,,,,2,1.0,0
pBeans,1.0,net.sourceforge.pbeans.PersistentMapEntry_StoreInfo,2,2,0,2,4,1,0,2,2,2.0,25,0.0,0,0.9444444,1.0,0,0,11.5,,,,,,,1,0.5,1
pBeans,1.0,net.sourceforge.pbeans.Store,74,1,0,18,185,2517,6,16,21,0.8942161,2390,1.0,2,0.0,0.15229653,0,0,31.054053999999997,,,,,,,5,1.2297298,4
pBeans,1.0,net.sourceforge.pbeans.data.IndexDescriptor,9,1,0,2,15,10,2,0,9,0.41666666,106,1.0,0,0.0,0.4,1,1,10.444445,,,,,,,5,1.1111111999999999,1
pBeans,1.0,net.sourceforge.pbeans.data.Database,8,1,0,7,8,28,5,2,8,2.0,8,0.0,0,0.0,0.3392857,0,0,0.0,,,,,,,1,1.0,1
pBeans,1.0,net.sourceforge.pbeans.PersistentMapEntry,7,1,0,2,8,15,1,2,6,0.8333333,34,1.0,2,0.0,0.35714287,0,0,3.4285714999999994,,,,,,,1,0.85714287,2
pBeans,1.0,net.sourceforge.pbeans.data.AbstractDatabase$TypeInfo,2,1,0,1,7,0,1,1,2,0.25,43,0.75,1,0.0,0.625,0,0,18.5,,,,,,,2,1.0,0
pBeans,1.0,net.sourceforge.pbeans.ObjectClass,6,1,0,3,7,3,2,1,6,0.6,34,1.0,0,0.0,0.5555555999999999,0,0,4.3333335,,,,,,,1,0.6666667,0
pBeans,1.0,net.sourceforge.pbeans.DefaultStoreInfo,1,2,0,2,2,0,1,1,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,,,,,,,0,0.0,2
pBeans,1.0,net.sourceforge.pbeans.StoreException,3,3,1,7,6,3,7,0,3,2.0,18,0.0,0,1.0,0.7777778000000001,0,0,5.0,,,,,,,0,0.0,0
pBeans,1.0,net.sourceforge.pbeans.Index,7,1,0,4,15,5,4,0,7,0.25,97,1.0,0,0.0,0.37142858,1,1,12.571428,,,,,,,4,1.1428572,1
pBeans,1.0,net.sourceforge.pbeans.PersistentMap_StoreInfo,2,2,0,4,4,1,0,4,2,2.0,11,0.0,0,0.9444444,0.75,0,0,4.5,,,,,,,1,0.5,1
pBeans,1.0,net.sourceforge.pbeans.DuplicateEntryException,3,4,0,3,6,3,2,1,3,2.0,18,0.0,0,1.0,0.7777778000000001,0,0,5.0,,,,,,,0,0.0,0
pBeans,1.0,net.sourceforge.pbeans.data.ResultsIterator,1,1,0,5,1,0,5,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,,,,,,,1,1.0,0
pBeans,1.0,net.sourceforge.pbeans.data.AbstractDatabase,27,1,3,13,122,283,7,9,11,0.88076925,1394,1.0,1,0.0,0.19088319,0,0,50.25926,,,,,,,2,1.037037,4
pBeans,1.0,net.sourceforge.pbeans.StoreInfo,6,1,0,6,6,15,2,5,6,2.0,6,0.0,0,0.0,0.5,0,0,0.0,,,,,,,1,1.0,1
pBeans,1.0,net.sourceforge.pbeans.util.BeanMapper,3,1,0,0,17,3,0,0,3,2.0,75,0.0,0,0.0,0.5,0,0,24.0,,,,,,,1,0.6666667,0
pBeans,1.0,net.sourceforge.pbeans.data.DefaultDatabaseFactory,4,1,0,7,21,0,1,6,4,0.33333334,96,1.0,0,0.0,0.5833333,0,0,22.5,,,,,,,1,0.75,2
pBeans,1.0,net.sourceforge.pbeans.PersistentMap,7,1,0,5,24,9,3,4,7,0.0,202,1.0,1,0.0,0.42857143,0,0,27.714284999999997,,,,,,,1,0.85714287,2
pBeans,1.0,net.sourceforge.pbeans.data.ConnectionPool,8,1,0,2,24,0,2,1,4,0.64285713,235,1.0,0,0.0,0.375,0,0,27.625,,,,,,,1,0.875,1
pBeans,1.0,net.sourceforge.pbeans.Store$ObjectInfo,8,3,0,6,35,2,1,6,0,0.6666667,278,0.8888889000000001,2,0.5,0.34375,0,0,32.625,,,,,,,1,0.875,0
pBeans,1.0,net.sourceforge.pbeans.data.GenericDatabase,2,2,0,3,7,1,1,2,1,2.0,33,0.0,0,0.9811321,0.6,1,1,15.5,,,,,,,1,0.5,1
pBeans,1.0,net.sourceforge.pbeans.data.MySQLDatabase,4,2,0,3,13,6,1,2,2,2.0,73,0.0,0,0.94545454,0.45833334,0,0,17.25,,,,,,,2,1.0,3
