Project,Version,Class,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,nr,ndc,nml,isOld,ndpv,ner,max(cc),avg(cc),bugs
poi,2.5.1,org.apache.poi.hssf.record.WindowOneRecord,38,2,0,6,52,479,2,4,35,0.8986485999999999,536,0.9375,6,0.24444444,0.33513513,1,6,12.684211,1,1,,1,0,,2,0.92105263,2
poi,2.5.1,org.apache.poi.hssf.record.EndSubRecord,10,3,0,8,18,45,6,3,8,1.1111111999999999,86,0.0,0,0.6315789,0.525,1,6,7.5,2,1,,0,0,,2,0.8,2
poi,2.5.1,org.apache.poi.hssf.record.PageBreakRecord,17,2,2,7,44,106,4,4,15,0.7604167,483,0.5,0,0.45833334,0.4852941,1,6,27.058822999999997,2,1,,0,0,,5,1.5294118,2
poi,2.5.1,org.apache.poi.hssf.record.formula.ParenthesisPtg,10,2,0,4,14,45,2,2,10,1.1111111999999999,52,0.5,0,0.27272728,0.32,0,0,4.0,1,1,,1,0,,1,0.8,2
poi,2.5.1,org.apache.poi.hssf.record.FnGroupCountRecord,11,2,0,5,21,49,2,3,9,0.93333334,106,0.33333334,0,0.57894737,0.52272725,1,6,8.363636,1,1,,1,0,,2,0.8181818000000001,2
poi,2.5.1,org.apache.poi.hssf.record.formula.UnknownPtg,7,2,0,2,8,21,0,2,7,1.0,26,1.0,0,0.5833333,0.42857143,1,2,2.5714285,1,1,,1,0,,1,0.71428573,1
poi,2.5.1,org.apache.poi.hssf.usermodel.HSSFChildAnchor,5,2,0,5,7,6,4,1,5,2.0,46,0.0,0,0.7692308000000001,0.7,1,1,8.2,2,1,,0,0,,2,1.0,0
poi,2.5.1,org.apache.poi.hssf.usermodel.HSSFSimpleShape,3,2,1,10,4,0,8,2,2,1.125,22,0.0,0,0.8888889000000001,0.5,0,0,5.0,2,1,,0,0,,1,0.6666667,1
poi,2.5.1,org.apache.poi.hssf.record.AreaRecord,18,2,0,6,35,1,1,5,16,0.67058825,276,0.8,3,0.42307693,0.36666667,1,6,14.055554999999998,1,1,,1,0,,2,0.8888889000000001,2
poi,2.5.1,org.apache.poi.hssf.record.formula.AbstractFunctionPtg,16,2,2,6,31,102,3,3,11,0.93333334,9857,0.75,1,0.1764706,0.1904762,0,0,614.5625,2,2,,1,1,,5,1.1875,1
poi,2.5.1,org.apache.poi.hssf.record.CellValueRecordInterface,10,1,0,13,10,45,13,0,10,2.0,10,0.0,0,0.0,0.4,0,0,0.0,1,1,,1,0,,1,1.0,0
