Project,Version,Class,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,nr,ndc,nml,isOld,ndpv,ner,max(cc),avg(cc),bugs
poi,3.0,org.apache.poi.ddf.EscherDump,9,1,0,8,45,36,1,8,5,2.0,3581,0.0,0,0.0,0.29629629999999996,0,0,396.8889,1,1,,1,0,,3,1.3333334,1
poi,3.0,org.apache.poi.hssf.record.FooterRecord,14,2,0,9,30,55,4,5,12,0.75384617,259,0.8,0,0.47826087,0.21428572,1,4,17.142857,6,4,,1,2,,5,1.6428572,2
poi,3.0,org.apache.poi.hssf.record.UnicodeString,36,1,0,18,90,252,11,8,29,0.74285716,1699,0.8888889000000001,3,0.0,0.16,1,1,45.944443,7,3,,1,4,,25,4.1666665,3
poi,3.0,org.apache.poi.ddf.EscherArrayProperty,15,3,0,6,37,5,2,4,14,0.9047619,434,1.0,0,0.53571427,0.4,1,4,27.733334000000003,4,4,,1,2,,3,1.5333333,1
poi,3.0,org.apache.poi.hssf.record.DefaultDataLabelTextPropertiesRecord,11,2,0,6,22,35,1,5,9,0.98,125,0.2,0,0.55,0.3090909,1,4,9.909091,4,3,,1,2,,2,0.90909094,1
poi,3.0,org.apache.poi.hssf.record.ExtSSTInfoSubRecord,12,2,0,4,22,52,1,3,10,0.8727273000000001,124,0.6,0,0.52380955,0.31666666,1,4,8.916667,3,3,,1,1,,1,0.8333333,0
poi,3.0,org.apache.poi.poifs.storage.BlockListImpl,6,1,2,5,13,0,2,3,4,0.5,107,1.0,2,0.0,0.45833334,0,0,16.5,1,1,,1,0,,3,1.1666666,3
poi,3.0,org.apache.poi.ddf.EscherRecord,20,1,14,37,36,164,36,4,18,0.84210527,141,1.0,0,0.0,0.2375,0,0,5.95,1,1,,1,0,,2,1.05,2
poi,3.0,org.apache.poi.ddf.DefaultEscherRecordFactory,4,1,1,11,27,4,3,8,2,0.8333333,214,1.0,0,0.0,0.41666666,0,0,52.0,3,2,,1,1,,10,3.0,2
poi,3.0,org.apache.poi.hssf.record.formula.GreaterThanPtg,10,2,0,5,14,45,2,3,10,1.1111111999999999,67,0.33333334,0,0.27272728,0.25,0,0,5.4,4,4,,1,1,,1,0.8,1
poi,3.0,org.apache.poi.hssf.util.HSSFColor$INDIGO,5,2,0,1,6,8,1,1,4,1.0833334,33,0.0,0,0.5714286,1.0,0,0,5.0,,0,,,0,,1,0.6,0
poi,3.0,org.apache.poi.hssf.record.MergeCellsRecord,14,2,0,7,37,35,3,5,12,0.7307691999999999,335,0.5,0,0.47826087,0.34285715,1,4,22.785715,3,3,,1,1,,2,1.3571428,1
poi,3.0,org.apache.poi.ddf.EscherPropertyMetaData,4,1,0,1,5,0,1,0,4,1.125,33,0.25,0,0.0,0.5833333,0,0,5.25,1,1,,1,0,,1,0.5,1
poi,3.0,org.apache.poi.hssf.util.HSSFColor$WHITE,5,2,0,1,6,8,1,1,4,1.0833334,33,0.0,0,0.5714286,1.0,0,0,5.0,,0,,,0,,1,0.6,0
poi,3.0,org.apache.poi.hpsf.SpecialPropertySet,28,3,2,10,56,0,2,8,25,0.0,160,1.0,1,0.49019608,0.15,2,7,4.678571,2,2,,1,1,,1,0.9285714,0
poi,3.0,org.apache.poi.hssf.util.HSSFColor$BLACK,5,2,0,2,6,8,2,1,4,1.0833334,33,0.0,0,0.5714286,1.0,0,0,5.0,,0,,,0,,1,0.6,0
poi,3.0,org.apache.poi.poifs.common.POIFSConstants,0,1,0,0,0,0,0,0,0,2.0,4,0.0,0,0.0,0.0,0,0,0.0,1,1,,1,0,,0,0.0,0
poi,3.0,org.apache.poi.hssf.util.HSSFColor$ORCHID,5,2,0,1,6,8,1,1,4,1.0833334,33,0.0,0,0.5714286,1.0,0,0,5.0,,0,,,0,,1,0.6,0
poi,3.0,org.apache.poi.hssf.usermodel.HSSFDateUtil,11,1,0,2,24,53,1,2,6,1.0333333,241,1.0,0,0.0,0.15714286,0,0,20.636364,2,2,,1,0,,4,1.6363636000000001,3
poi,3.0,org.apache.poi.hssf.util.HSSFColor$TAN,5,2,0,1,6,8,0,1,4,1.0833334,33,0.0,0,0.5714286,1.0,0,0,5.0,,0,,,0,,1,0.6,0
poi,3.0,org.apache.poi.hssf.record.DrawingGroupRecord,11,3,0,11,25,55,4,7,6,1.1,207,0.33333334,0,0.72727275,0.45454547,2,5,17.545454,4,3,,1,1,,4,1.5454545,1
poi,3.0,org.apache.poi.hssf.record.EndRecord,8,2,0,5,15,28,1,4,6,1.1428572,60,0.0,0,0.64705884,0.325,1,4,6.375,4,3,,1,2,,2,0.875,1
poi,3.0,org.apache.poi.hssf.record.formula.FuncPtg,7,3,0,5,17,0,2,3,6,0.8888889000000001,116,0.33333334,0,0.77272725,0.35714287,1,5,15.142857999999999,3,3,,1,1,,1,0.71428573,0
poi,3.0,org.apache.poi.util.List2d,5,1,0,0,11,0,0,0,3,0.0,86,0.0,0,0.0,0.6666667,0,0,16.0,1,1,,0,0,,3,1.6,0
poi,3.0,org.apache.poi.hssf.record.SheetPropertiesRecord,23,2,0,8,41,0,1,7,21,0.8305785,349,0.6363635999999999,5,0.34375,0.2173913,1,4,13.695651999999999,5,3,,1,2,,2,0.95652175,1
poi,3.0,org.apache.poi.hssf.eventusermodel.HSSFEventFactory,6,1,0,9,15,15,1,8,5,2.0,128,0.0,0,0.0,0.53333336,0,0,20.333334,5,4,,1,2,,1,0.8333333,4
poi,3.0,org.apache.poi.hssf.model.TextboxShape,8,2,1,21,59,20,3,19,4,0.8214286,267,1.0,4,0.41666666,0.6666667,1,1,31.875,2,2,,1,0,,1,0.875,2
poi,3.0,org.apache.poi.poifs.eventfilesystem.POIFSReader,7,1,0,17,51,3,0,17,6,0.083333336,282,1.0,1,0.0,0.30357143,0,0,39.0,1,1,,1,0,,6,1.8571428,1
poi,3.0,org.apache.poi.poifs.filesystem.POIFSDocument$SmallBlockStore,4,1,0,7,11,0,1,7,0,0.27777779999999996,124,0.8333333,4,0.0,0.39285713,0,0,28.5,,0,,,0,,3,1.5,0
poi,3.0,org.apache.poi.hssf.record.NumberFormatIndexRecord,11,2,0,5,22,35,0,5,9,0.8,122,0.5,0,0.55,0.3090909,1,4,9.909091,4,3,,1,2,,2,0.90909094,1
poi,3.0,org.apache.poi.hssf.record.GridsetRecord,11,2,0,6,20,35,2,4,9,0.8,113,0.0,0,0.55,0.25757575,1,4,9.090909,4,3,,1,2,,2,1.0909091,1
poi,3.0,org.apache.poi.hssf.record.BlankRecord,22,2,0,10,34,199,5,5,20,0.71428573,331,0.75,0,0.3548387,0.22727273,1,4,13.863635999999998,4,3,,1,2,,7,1.9090909,1
poi,3.0,org.apache.poi.poifs.storage.BlockAllocationTableReader,7,1,0,12,29,1,7,6,1,0.0,257,1.0,1,0.0,0.51428574,0,0,35.57143,2,2,,1,0,,2,0.71428573,4
poi,3.0,org.apache.poi.hssf.util.HSSFColor$VIOLET,5,2,0,1,6,8,1,1,4,1.125,34,0.0,0,0.5714286,1.0,0,0,5.0,,0,,,0,,1,0.6,0
poi,3.0,org.apache.poi.poifs.property.PropertyFactory,2,1,0,5,10,1,1,4,0,2.0,82,0.0,0,0.0,0.5,0,0,40.0,1,1,,1,0,,1,0.5,0
poi,3.0,org.apache.poi.hssf.record.TextObjectBaseRecord,37,2,1,8,58,246,1,7,35,0.92901236,687,0.5185185,6,0.23913044,0.25225225,1,4,16.837837,5,3,,1,2,,2,0.972973,1
poi,3.0,org.apache.poi.hssf.usermodel.HSSFShape,17,1,3,18,19,84,15,3,16,0.99404764,152,0.0,2,0.0,0.31764707,0,0,6.7058824999999995,2,2,,1,0,,4,1.1176469999999998,1
poi,3.0,org.apache.poi.hssf.eventusermodel.HSSFListener,1,1,0,5,1,0,4,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,3,3,,1,0,,1,1.0,0
poi,3.0,org.apache.poi.poifs.property.Property,32,1,3,19,65,290,13,6,18,0.9626485999999999,732,1.0,16,0.0,0.17578125,0,0,20.6875,1,1,,1,0,,3,1.15625,1
poi,3.0,org.apache.poi.hssf.eventmodel.ModelFactoryListener,1,1,0,2,1,0,1,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,2,2,,1,0,,1,1.0,0
poi,3.0,org.apache.poi.hssf.util.CellReference,12,1,0,6,32,34,6,0,9,0.6909090999999999,346,1.0,0,0.0,0.375,0,0,27.416665999999996,3,3,,1,1,,6,1.5833334,1
poi,3.0,org.apache.poi.poifs.filesystem.DirectoryEntry,9,1,0,10,9,36,7,4,9,2.0,9,0.0,0,0.0,0.31481479999999995,0,0,0.0,1,1,,1,0,,1,1.0,0
poi,3.0,org.apache.poi.hssf.record.CalcCountRecord,11,2,0,6,20,43,2,4,9,0.8,102,0.5,0,0.55,0.3090909,1,4,8.090909,4,3,,1,2,,2,0.90909094,1
poi,3.0,org.apache.poi.hssf.usermodel.HSSFPalette$1,0,1,0,2,0,0,2,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,,0,,,0,,0,0.0,0
poi,3.0,org.apache.poi.hssf.record.ChartRecord,17,2,0,6,29,74,1,5,15,0.7625,269,0.8,0,0.42307693,0.30588236,1,4,14.529410999999998,4,3,,1,2,,2,0.9411765,1
poi,3.0,org.apache.poi.hssf.record.formula.Ref3DPtg,22,2,1,12,52,89,4,9,22,0.7210884,417,0.85714287,2,0.26923078,0.19886364,1,2,17.636364,6,4,,1,2,,8,1.1818181,0
poi,3.0,org.apache.poi.hssf.record.AreaRecord,17,2,0,8,33,0,1,7,15,0.6875,227,0.8,3,0.42307693,0.25490198,1,4,12.058824000000001,5,3,,1,2,,2,0.9411765,1
poi,3.0,org.apache.poi.hssf.record.PrintGridlinesRecord,11,2,0,7,20,35,3,4,9,0.8,113,0.5,0,0.55,0.25757575,1,4,9.090909,4,3,,1,2,,2,1.0909091,1
poi,3.0,org.apache.poi.poifs.storage.BATBlock,12,2,0,6,18,54,4,2,8,0.92424244,222,1.0,1,0.23076923,0.3125,1,2,17.0,1,1,,1,0,,5,1.3333334,1
poi,3.0,org.apache.poi.hssf.record.aggregates.ColumnInfoRecordsAggregate,25,2,0,4,67,0,1,3,22,0.20833333,991,0.0,0,0.31428573,0.212,1,3,38.6,6,4,,1,2,,26,3.8,0
poi,3.0,org.apache.poi.hssf.util.RangeAddress,30,1,0,3,53,331,3,0,24,0.87356323,773,0.0,0,0.0,0.39166668,0,0,24.566668,3,3,,1,1,,6,2.6666667,1
poi,3.0,org.apache.poi.hssf.record.Record,12,1,134,155,21,66,154,1,10,2.0,63,0.0,0,0.0,0.28333333,0,0,4.25,3,3,,1,1,,1,0.8333333,3
poi,3.0,org.apache.poi.hssf.record.formula.PercentPtg,10,2,0,4,14,45,1,3,10,1.1111111999999999,57,0.33333334,0,0.27272728,0.25,0,0,4.4,2,2,,0,0,,1,0.8,0
poi,3.0,org.apache.poi.hssf.record.StringRecord,15,2,0,10,32,53,5,5,12,0.71428573,209,0.75,0,0.45833334,0.20952381,1,4,12.666667,5,4,,1,3,,2,1.2666667,3
poi,3.0,org.apache.poi.poifs.storage.BlockList,4,1,0,6,4,6,5,2,4,2.0,4,0.0,0,0.0,0.6666667,0,0,0.0,1,1,,1,0,,1,1.0,1
poi,3.0,org.apache.poi.hpsf.VariantSupport,8,2,0,10,61,22,4,7,6,0.64285713,725,1.0,0,0.0,0.19642857,0,0,89.375,8,2,,0,0,,54,7.75,1
poi,3.0,org.apache.poi.hssf.record.aggregates.ValueRecordsAggregate$MyIterator,6,1,0,2,8,0,1,2,5,0.3,140,0.0,1,0.0,0.5,0,0,21.666666,,0,,,0,,6,1.6666666,0
poi,3.0,org.apache.poi.hssf.record.formula.OperationPtg,5,2,21,24,6,10,23,1,5,1.25,13,0.0,0,0.6363635999999999,0.6,0,0,1.0,2,2,,1,0,,1,0.8,0
poi,3.0,org.apache.poi.hssf.record.aggregates.ValueRecordsAggregate,17,2,0,11,42,108,3,9,15,0.796875,514,0.0,1,0.40740740000000003,0.24369748,1,3,29.0,10,4,,1,7,,14,3.3529413,4
poi,3.0,org.apache.poi.ddf.EscherSplitMenuColorsRecord,15,2,0,7,33,43,1,6,15,0.8333333,258,0.6666667,0,0.57575756,0.33333334,1,5,15.8,1,1,,1,0,,2,1.0,1
poi,3.0,org.apache.poi.util.BinaryTree$6$1,2,2,0,4,3,1,1,4,0,1.0,15,0.0,1,0.8,0.6666667,1,1,6.0,,0,,,0,,1,0.5,0
poi,3.0,org.apache.poi.hpsf.wellknown.PropertyIDMap,7,3,0,1,18,21,1,0,7,1.1491228,301,0.05263158,2,0.91525424,0.22448979999999996,1,2,36.57143,3,2,,1,1,,2,1.0,0
poi,3.0,org.apache.poi.hssf.record.DBCellRecord,15,2,0,8,32,79,4,4,13,0.85714287,242,0.5,0,0.45833334,0.30666667,1,4,14.866667000000001,5,3,,1,3,,3,1.2666667,1
poi,3.0,org.apache.poi.ddf.EscherBlipWMFRecord,32,3,0,7,64,312,0,7,32,0.8917050999999999,614,0.9285714,0,0.61728394,0.265625,1,5,17.75,2,2,,0,0,,1,0.96875,1
poi,3.0,org.apache.poi.hssf.record.SeriesLabelsRecord,23,2,0,7,39,0,0,7,21,0.7386364000000001,332,0.875,6,0.34375,0.2536232,1,4,13.086957,5,3,,1,2,,2,0.95652175,1
poi,3.0,org.apache.poi.hpsf.IllegalPropertySetDataException,4,5,0,4,8,6,3,1,4,2.0,20,0.0,0,1.0,0.6666667,0,0,4.0,2,2,,1,1,,0,0.0,0
poi,3.0,org.apache.poi.hssf.record.formula.AreaNPtg,6,3,0,5,10,15,2,3,5,1.2,31,0.0,0,0.875,0.33333334,1,1,4.0,3,3,,0,0,,1,0.6666667,0
poi,3.0,org.apache.poi.hssf.dev.FormulaViewer,9,1,0,11,43,28,0,11,6,0.6875,416,1.0,0,0.0,0.33333334,0,0,45.0,3,3,,1,1,,13,3.2222223,0
poi,3.0,org.apache.poi.hssf.record.formula.RefErrorPtg,10,2,0,4,18,25,1,4,9,0.8888889000000001,83,0.6666667,0,0.46666667,0.3,1,2,7.0,2,2,,0,0,,1,0.8,1
poi,3.0,org.apache.poi.poifs.filesystem.DocumentOutputStream,8,2,0,3,15,4,3,0,5,0.42857143,90,1.0,0,0.41666666,0.425,1,1,9.875,1,1,,1,0,,1,0.875,1
poi,3.0,org.apache.poi.hssf.model.AbstractShape,6,1,5,23,30,15,6,22,3,2.0,207,0.0,0,0.0,0.33333334,0,0,33.5,4,3,,1,1,,7,2.5,0
poi,3.0,org.apache.poi.hpsf.wellknown.SectionIDMap,8,3,0,5,15,26,4,1,7,0.85714287,295,0.25,1,0.9,0.34285715,1,1,35.375,2,2,,1,1,,3,1.125,1
poi,3.0,org.apache.poi.hssf.record.LeftMarginRecord,11,2,0,7,21,35,2,5,9,0.8,107,0.5,0,0.55,0.25757575,1,4,8.545455,4,3,,1,2,,2,0.90909094,1
poi,3.0,org.apache.poi.hssf.record.AxisRecord,19,2,0,6,33,95,1,5,17,0.8703704,321,0.5555555999999999,0,0.39285713,0.30526316,1,4,15.421053,4,3,,1,2,,2,0.94736844,1
poi,3.0,org.apache.poi.hssf.util.HSSFColor$SKY_BLUE,5,2,0,1,6,8,1,1,4,1.0833334,33,0.0,0,0.5714286,1.0,0,0,5.0,,0,,,0,,1,0.6,0
poi,3.0,org.apache.poi.util.SystemOutLogger,4,2,0,1,12,4,0,1,4,0.6666667,44,1.0,0,0.8888889000000001,0.5,1,1,9.75,1,1,,1,0,,2,1.25,2
