Project,Version,Class,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,nr,ndc,nml,isOld,ndpv,ner,max(cc),avg(cc),bugs
prop-1,ver-128,class-62063,2,3,0,10,12,1,0,10,2,2.0,49,0.0,0,0.85714287,0.625,1,1,23.5,3,2,6,0,0,1,1,0.5,0
prop-1,ver-128,class-62804,4,4,0,14,40,4,1,13,3,1.0,171,0.0,0,0.9677418999999999,0.5555555999999999,3,6,41.0,0,0,0,1,0,,1,0.5,0
prop-1,ver-128,class-61520,3,2,0,4,4,3,0,4,2,2.0,28,0.0,0,0.92,0.5555555999999999,1,1,8.333333,0,0,0,1,0,,1,0.6666667,0
prop-1,ver-128,class-60629,4,5,0,7,7,4,0,7,1,0.6666667,24,1.0,0,0.9142857,0.5,2,2,4.75,,0,0,,0,,1,0.75,0
prop-1,ver-128,class-62094,5,7,0,15,19,4,0,15,1,0.9166667,66,0.0,0,0.88461536,0.6666667,2,3,11.6,0,0,0,1,0,,1,0.6,0
prop-1,ver-128,class-62025,2,3,0,19,22,1,0,19,2,2.0,115,0.0,0,0.85714287,0.625,1,1,56.5,0,0,0,1,0,,14,7.0,0
prop-1,ver-128,class-61156,3,3,0,9,16,1,0,9,2,0.75,72,0.5,0,0.85714287,0.6666667,1,1,22.333334,0,0,0,1,0,,4,1.3333334,0
prop-1,ver-128,class-62618,2,3,0,6,6,1,0,6,2,2.0,18,0.0,0,0.85714287,0.625,1,1,8.0,0,0,0,1,0,,1,0.5,0
prop-1,ver-128,class-62840,2,3,0,10,12,1,0,10,2,2.0,60,0.0,0,0.85714287,0.5833333,1,1,29.0,3,2,18,1,0,2,1,0.5,0
prop-1,ver-128,class-62089,5,7,0,13,17,4,0,13,1,0.9166667,58,0.0,0,0.88461536,0.6666667,2,3,10.0,0,0,0,1,0,,1,0.6,0
prop-1,ver-128,class-61085,16,3,1,29,105,18,2,27,12,0.7866666999999999,879,0.4,0,0.7407406999999999,0.25333333,2,2,53.625,1,1,4,1,0,0,16,2.375,0
prop-1,ver-128,class-62842,41,1,0,7,50,820,0,7,40,2.0,398,0.0,0,0.0,0.6178861999999999,0,0,8.707317,0,0,0,1,0,0,3,1.0487803999999998,1
prop-1,ver-128,class-61371,2,4,0,21,26,1,0,21,2,2.0,515,0.0,0,0.9444444,0.625,1,2,256.5,3,2,63,1,0,0,1,0.5,0
prop-1,ver-128,class-62262,2,1,0,5,6,1,3,2,2,2.0,28,0.0,0,0.0,0.75,0,0,13.0,0,0,0,1,0,,2,1.0,0
prop-1,ver-128,class-63138,2,3,0,9,10,1,0,9,2,2.0,36,0.0,0,0.85714287,0.6666667,1,1,17.0,0,0,0,1,0,,2,1.0,0
prop-1,ver-128,class-60424,2,2,0,3,6,1,0,3,1,2.0,27,0.0,0,0.9375,0.75,2,3,12.5,0,0,0,1,0,,3,1.5,0
prop-1,ver-128,class-62528,3,4,0,31,33,3,0,31,2,2.0,314,0.0,0,0.8947368,0.5,1,1,103.666664,3,2,71,1,0,2,1,0.6666667,0
prop-1,ver-128,class-62293,3,3,0,7,15,1,0,7,2,0.75,49,0.5,0,0.85714287,0.6666667,1,1,14.666667000000002,0,0,0,1,0,,2,0.6666667,0
prop-1,ver-128,class-63497,2,3,0,17,16,1,0,17,2,2.0,63,0.0,0,0.85714287,0.625,1,1,30.5,0,0,0,1,0,,4,2.0,0
prop-1,ver-128,class-60493,2,3,0,15,18,1,0,15,2,2.0,99,0.0,0,0.85714287,0.625,1,1,48.5,4,3,102,1,0,1,6,3.0,0
prop-1,ver-128,class-62373,2,3,0,13,12,1,0,13,2,2.0,61,0.0,0,0.85714287,0.625,1,1,29.5,0,0,0,1,0,,2,1.0,0
prop-1,ver-128,class-62254,4,4,0,8,11,6,0,8,1,1.3333334,33,1.0,0,0.9032258,0.4375,2,2,7.0,0,0,0,1,0,,1,0.75,0
prop-1,ver-128,class-61543,3,1,0,28,32,1,0,28,2,0.875,234,0.25,0,0.0,0.6,0,0,75.666664,1,1,11,1,0,1,19,6.3333335,0
prop-1,ver-128,class-63305,4,4,0,22,45,4,1,21,3,1.0,161,0.0,0,0.9777778,0.5555555999999999,3,9,38.5,0,0,0,1,0,,1,0.5,0
prop-1,ver-128,class-60609,5,4,0,7,11,10,0,7,1,2.0,25,0.0,0,0.875,0.55,2,3,4.0,2,1,45,1,0,2,1,0.8,0
prop-1,ver-128,class-53726,1,1,0,1,5,0,0,1,0,2.0,18,0.0,0,0.0,0.0,0,0,12.0,0,0,0,1,0,,0,0.0,0
prop-1,ver-128,class-61721,6,3,2,32,54,15,2,30,5,1.15,350,0.75,0,0.54545456,0.36666667,1,1,56.66666800000001,5,2,304,0,0,3,4,1.3333334,0
prop-1,ver-128,class-63006,2,3,0,15,16,1,0,15,2,2.0,60,0.0,0,0.85714287,0.6,1,1,29.0,1,1,3,1,0,0,1,0.5,0
prop-1,ver-128,class-52860,6,1,0,24,43,13,2,24,1,0.8666666999999999,197,0.33333334,0,0.0,0.3,0,0,31.333334000000004,0,0,0,1,0,,4,1.5,0
prop-1,ver-128,class-60362,5,8,0,17,21,4,0,17,1,0.9166667,75,0.0,0,0.8888889000000001,0.6666667,2,3,13.4,0,0,0,1,0,,1,0.6,0
prop-1,ver-128,class-63087,2,3,0,6,7,1,0,6,2,2.0,22,0.0,0,0.85714287,0.6666667,1,1,10.0,8,4,22,0,0,1,1,0.5,1
prop-1,ver-128,class-61849,8,4,0,33,70,8,5,28,7,0.85714287,524,0.0,0,0.877551,0.60714287,3,4,64.125,16,6,267,1,0,6,1,0.75,3
prop-1,ver-128,class-63111,2,3,0,16,24,1,0,16,2,2.0,159,0.0,0,0.85714287,0.625,1,1,78.5,2,2,101,1,0,1,15,7.5,0
prop-1,ver-128,class-62715,4,4,0,13,20,4,1,12,3,1.0,75,0.0,0,0.95555556,0.5555555999999999,3,4,17.0,0,0,0,1,0,,1,0.5,0
prop-1,ver-128,class-62205,2,4,0,29,52,1,0,29,2,1.0,408,0.0,0,0.9444444,0.625,1,2,202.5,6,1,102,0,0,1,1,0.5,1
prop-1,ver-128,class-60593,2,3,0,17,22,1,0,17,2,2.0,80,0.0,0,0.85714287,0.625,1,1,39.0,7,4,74,1,1,1,1,0.5,0
prop-1,ver-128,class-61984,5,5,0,13,19,4,0,13,1,0.9166667,70,0.0,0,0.875,0.6666667,2,3,12.4,1,1,56,0,0,1,1,0.6,0
prop-1,ver-128,class-61922,2,4,0,23,17,1,0,23,2,2.0,174,0.0,0,0.9444444,0.625,1,1,86.0,1,1,8,1,0,1,1,0.5,0
prop-1,ver-128,class-61185,4,4,0,15,23,4,1,14,3,1.0,90,0.0,0,0.9677418999999999,0.5555555999999999,3,5,20.75,0,0,0,1,0,,1,0.5,0
prop-1,ver-128,class-61708,5,7,0,18,20,4,0,18,1,0.9166667,84,0.0,0,0.88,0.6666667,2,3,15.2,0,0,0,1,0,,1,0.6,0
prop-1,ver-128,class-63336,4,3,0,28,55,4,0,28,1,0.8666666999999999,579,0.4,0,0.8,0.46666667,2,3,142.5,3,3,124,1,1,0,8,2.25,0
prop-1,ver-128,class-61509,2,3,0,22,30,1,0,22,2,2.0,173,0.0,0,0.85714287,0.625,1,1,85.5,14,4,224,1,2,2,1,0.5,1
